sample_id,failure_category,ai_pattern_label,annotation_authority,annotation_status
capstone-001,exception,exception_vector_divergence,ai_triage,accepted_ai_triage
capstone-002,exception,exception_context_path_divergence,ai_triage,accepted_ai_triage
capstone-003,exception,exception_precheckpoint_interruption,ai_triage,accepted_ai_triage
capstone-004,virtualization_exit,vmexit_saved_state_mismatch,ai_triage,accepted_ai_triage
capstone-005,virtualization_exit,vmexit_checkpoint_ordering,ai_triage,accepted_ai_triage
capstone-006,memory_content,memory_rmw_value_mismatch,ai_triage,accepted_ai_triage
capstone-007,memory_content,memory_store_interference,ai_triage,accepted_ai_triage
capstone-008,hang,hang_single_context_stall,ai_triage,accepted_ai_triage
capstone-009,hang,hang_midoperation_stall,ai_triage,accepted_ai_triage
capstone-010,hang,hang_wait_dependency_deadlock,ai_triage,accepted_ai_triage
capstone-011,hang,hang_synchronized_dual_context_freeze,ai_triage,accepted_ai_triage
capstone-012,hang,hang_missed_monitor_wait_wake,ai_triage,accepted_ai_triage
capstone-013,hang,hang_package_power_transition,ai_triage,accepted_ai_triage
capstone-014,hang,hang_sleep_state_resume_failure,ai_triage,accepted_ai_triage
capstone-015,hang,hang_power_wait_interaction,ai_triage,accepted_ai_triage
